Report on Thailand's international trade statistics. (Month),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceYear 2020 - 2025 (Jan - Aug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report Condition : Year 2025, Month August, Currency Million Baht, Country 00 : WORLD, Product Type : ALL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2563,,,2564,,,2565,,,2566,,,2567,,,2568,,,Rate,,,Rate,,,Rate,,,Rate,,,Rate,,,Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Export_2563,Import_2563,Balance_2563,Export_2564,Import_2564,Balance_2564,Export_2565,Import_2565,Balance_2565,Export_2566,Import_2566,Balance_2566,Export_2567,Import_2567,Balance_2567,Export_2568,Import_2568,Balance_2568,Export,Import,Balance,Export,Import,Balance,Export,Import,Balance,Export,Import,Balance,Export,Import,Balance,Export,Import,Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,588919.99,638351.94,-49431.95,589185.37,596690.15,-7504.78,707340.10,781589.83,-74249.73,712605.60,866737.10,-154131.50,771190.02,882829.26,-111639.24,862366.56,938112.01,-75745.45,-4.40,-15.51,64.57,0.05,-6.53,84.82,20.05,30.99,-889.37,0.74,10.89,-107.59,8.22,1.86,27.57,11.82,6.26,32.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,626775.53,506926.84,119848.69,601075.10,603434.69,-2359.58,771303.65,772306.27,-1002.61,736352.35,766531.60,-30179.24,828071.57,850730.10,-22658.54,906519.98,848823.95,57696.03,-7.87,-9.16,-2.01,-4.10,19.04,-101.97,28.32,27.99,57.51,-4.53,-0.75,-2910.06,12.46,10.98,24.92,9.47,-0.22,354.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar,692043.59,646156.76,45886.83,716788.73,699492.46,17296.27,922955.24,868325.87,54629.37,954885.70,852936.47,101949.23,896591.61,938054.89,-41463.28,988362.47,967607.85,20754.62,4.02,6.14,-18.86,3.58,8.25,-62.31,28.76,24.14,215.84,3.46,-1.77,86.62,-6.10,9.98,-140.67,10.24,3.15,150.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter 1 (Jan. - Mar),1907739.11,1791435.55,116303.57,1907049.20,1899617.29,7431.91,2401598.99,2422221.96,-20622.97,2403843.65,2486205.17,-82361.52,2495853.19,2671614.25,-175761.05,2757249.02,2754543.82,2705.20,-2.75,-6.81,195.55,-0.04,6.04,-93.61,25.93,27.51,-377.49,0.09,2.64,-299.37,3.83,7.46,-113.40,10.47,3.10,101.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,614122.64,537451.05,76671.59,655821.56,650359.65,5461.91,782696.37,841976.03,-59279.66,740513.48,790140.84,-49627.37,833277.80,903754.14,-70476.34,857699.59,980655.37,-122955.79,5.35,-15.20,250.70,6.79,21.01,-92.88,19.35,29.46,-1185.33,-5.39,-6.16,16.28,12.53,14.38,-42.01,2.93,8.51,-74.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,524789.50,444406.11,80383.39,715930.92,693477.13,22453.80,854937.51,917405.15,-62467.65,836801.01,896869.56,-60068.55,960755.30,939744.83,21010.47,1025476.90,1001162.25,24314.65,-20.88,-32.94,15629.30,36.42,56.05,-72.07,19.42,32.29,-378.21,-2.12,-2.24,3.84,14.81,4.78,134.98,6.74,6.54,15.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun,521707.66,474881.97,46825.69,739426.71,712522.63,26904.09,906213.69,954795.51,-48581.82,850468.05,847869.24,2598.81,893045.13,888509.53,4535.61,938533.21,914879.66,23653.55,-22.90,-18.13,-51.53,41.73,50.04,-42.54,22.56,34.00,-280.57,-6.15,-11.20,105.35,5.01,4.79,74.53,5.09,2.97,421.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter 2 (Apr. - May),1660619.80,1456739.13,203880.67,2111179.20,2056359.41,54819.79,2543847.57,2714176.70,-170329.13,2427782.53,2534879.64,-107097.11,2687078.24,2732008.49,-44930.26,2821709.69,2896697.28,-74987.58,-13.64,-22.37,341.01,27.13,41.16,-73.11,20.49,31.99,-410.71,-4.56,-6.61,37.12,10.68,7.78,58.05,5.01,6.03,-66.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul,580105.29,480766.74,99338.55,708583.06,698810.06,9773.00,828468.14,962779.36,-134311.22,770563.25,837052.67,-66489.42,939131.43,991800.90,-52669.47,928341.57,929324.26,-982.69,-11.55,-26.98,3963.45,22.15,45.35,-90.16,16.92,37.77,-1474.31,-6.99,-13.06,50.50,21.88,18.49,20.79,-1.15,-6.30,98.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
